index	id	category	image	question	answer	A	B	C	D
1	attention_focusing_1	attention	images/attention_focusing/attention_focusing_1.jpg	In this street view image, please locate the shop sign near the '雞大爺' sign. The text on this shop sign is mirrored. Answer what the Chinese characters are.	光陽機車				
2	attention_focusing_2	attention	images/attention_focusing/attention_focusing_2.jpg	How many people in the picture are facing us?	B	6	5	3	4
3	attention_focusing_3	attention	images/attention_focusing/attention_focusing_3.jpg	How many people in the picture are wearing red clothes?	D	3	2	4	1
4	attention_focusing_4	attention	images/attention_focusing/attention_focusing_4.jpg	Please find the slogan board on the low wall near the girl wearing light blue clothes in this image, read the text on it, and answer what the last 5 letters are.	ataud				
5	attention_focusing_5	attention	images/attention_focusing/attention_focusing_5.jpg	Please find the blue pendant on the strap of the person's backpack in this image, read the text on it, and answer what the two lines of text are.	NEW MEXICO MUTUAL				
6	attention_focusing_6	attention	images/attention_focusing/attention_focusing_6.jpg	Please find the orange book on the third shelf from the top on the right side of the bookshelf opposite the cabinet labeled 'Luisterpunt' in the picture. Read the text on it and answer what the book is titled.	IN BRUSSEL				
7	attention_focusing_7	attention	images/attention_focusing/attention_focusing_7.jpg	Please find the black block-like device near the bottom left corner of this image, read the product number on it, and answer what the number is.	600.0018				
8	attention_focusing_8	attention	images/attention_focusing/attention_focusing_8.jpg	Please find the glider in the sky in this image, read the text on it, and answer what the text content is.	Windy				
9	attention_focusing_9	attention	images/attention_focusing/attention_focusing_9.jpg	Please find the larger sail on the ship in this image, read the first line of text from top to bottom on the back of the sail, and answer what the text content is.	IRL				
10	attention_focusing_10	attention	images/attention_focusing/attention_focusing_10.jpg	Please find the larger sail on the ship in this image, read the second line of text from top to bottom on the back of the sail, and answer what the text content is.	161				
11	attention_focusing_11	attention	images/attention_focusing/attention_focusing_11.jpg	Please find the third lane to the right of the speed limit sign marked 50 in this image, read the text on it, and answer what the text content is.	貨·特定中貨				
12	attention_focusing_12	attention	images/attention_focusing/attention_focusing_12.jpg	Please find the product label on the transparent water bottle in this image, read the vertical numbers on it, and answer what the numbers are.	41512 11428				
13	attention_focusing_13	attention	images/attention_focusing/attention_focusing_13.jpg	Please find the slogan on the third shed from near to far, on the outer side, in this image, read the text on it, and answer what the text says.	Традиції якості				
14	attention_focusing_14	attention	images/attention_focusing/attention_focusing_14.jpg	Please find the strip-shaped billboard on the wall closest to you in this horizontally mirrored image, read the text on it, and answer what the text says.	vodafone				
15	attention_focusing_15	attention	images/attention_focusing/attention_focusing_15.jpg	Please find the number near the edge at the bottom of the left wing of the airplane in this image, read the text on it, and answer what the text says.	A6-EEA				
16	attention_focusing_16	attention	images/attention_focusing/attention_focusing_16.jpg	This is a horizontally mirrored image, find the text pointed to by the bull's horn, read the text on it, and answer what the text says.	TAURUS				
17	attention_focusing_17	attention	images/attention_focusing/attention_focusing_17.jpg	Please find the text on the arc-shaped part of the manhole cover from the 3 o'clock to 6 o'clock direction based on the current view in this image, read the numbers on it, and answer what the numbers are.	EN 124 D400  DIN 129				
18	attention_focusing_18	attention	images/attention_focusing/attention_focusing_18.jpg	Please find the three numbers at the bottom of the license plate of the red electric scooter next to the shop in this horizontally mirrored image, read the numbers on it, and answer what the numbers are.	456				
19	attention_focusing_19	attention	images/attention_focusing/attention_focusing_19.jpg	Please find the text in blue font on the sail in this image, read the text on it, and answer what the text says.	ebasto				
20	attention_focusing_20	attention	images/attention_focusing/attention_focusing_20.jpg	This is a image, find the date on the white strip-shaped area on the left side of the wine bottle label, read the text on it, and answer what the text says.	10. 01. 2025				
21	attention_focusing_21	attention	images/attention_focusing/attention_focusing_21.jpg	This is a image, what brand is this instrument?	Elcometer				
22	attention_focusing_22	attention	images/attention_focusing/attention_focusing_22.jpg	Please find the larger font text part on the white flag in this image, read the text on it, and answer what the text says.	DUKCEY				
23	attention_focusing_23	attention	images/attention_focusing/attention_focusing_23.jpg	Please find the smaller font text on the white flag in this image, read the text on it, and answer what the text is.	MARINA BUDVA				
24	attention_focusing_24	attention	images/attention_focusing/attention_focusing_24.jpg	Please find the larger font text on the sole in this image, read the text on it, and answer what the text is.	VALENTINO				
